ID_CLIENTE_ANTERIOR,ID_CLIENTE_ATUAL,TIPO_CONTRATO,VALOR_ANUIDADE,VALOR_SOLICITADO,VALOR_CREDITO,VALOR_ENTRADA,VALOR_BENS,DIA_SEMANA_INICIO,HORA_INICIO,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,MOTIVO_EMPRESTIMO,STATUS_CONTRATO,DIAS_DECISAO,TIPO_PAGAMENTO,MOTIVO_REJEICAO,TIPO_ACOMPANHANTE,TIPO_CLIENTE,CATEGORIA_BENS,CARTEIRA,TIPO_PRODUTO,CANAL_VENDA,AREA_VENDEDOR,INDUSTRIA_VENDEDOR,QTD_PAGAMENTOS,GRUPO_RENTABILIDADE,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL,DATASET_TRATADO,DATA_DECISAO_PTBR
1715995,447712,CASH LOANS,11368.62,270000.0,335754.0,,270000.0,FRIDAY,7,Y,1,,,,XNA,APPROVED,-735,CASH THROUGH THE BANK,XAP,UNACCOMPANIED,REPEATER,XNA,CASH,X-SELL,CREDIT AND CASH OFFICES,-1,XNA,54.0,LOW_NORMAL,CASH X-SELL: LOW,365243.0,-705.0,885.0,-345.0,-334.0,1.0,SIM,31/01/2024
2257824,161140,CASH LOANS,13832.775,211500.0,246397.5,,211500.0,FRIDAY,10,Y,1,,,,XNA,APPROVED,-815,CASH THROUGH THE BANK,XAP,UNACCOMPANIED,REPEATER,XNA,CASH,X-SELL,CREDIT AND CASH OFFICES,-1,XNA,30.0,MIDDLE,CASH X-SELL: MIDDLE,365243.0,-785.0,85.0,-725.0,-721.0,1.0,SIM,12/11/2023
2330894,258628,CASH LOANS,12165.21,148500.0,174361.5,,148500.0,TUESDAY,15,Y,1,,,,XNA,APPROVED,-860,CASH THROUGH THE BANK,XAP,UNACCOMPANIED,REPEATER,XNA,CASH,X-SELL,CREDIT AND CASH OFFICES,-1,XNA,24.0,HIGH,CASH X-SELL: HIGH,365243.0,-830.0,-140.0,-200.0,-197.0,1.0,SIM,28/09/2023
1397919,321676,CONSUMER LOANS,7654.86,53779.5,57564.0,0.0,53779.5,SUNDAY,15,Y,1,0.0,,,XAP,APPROVED,-408,CASH THROUGH THE BANK,XAP,UNACCOMPANIED,NEW,CONSUMER ELECTRONICS,POS,XNA,COUNTRY-WIDE,200,CONSUMER ELECTRONICS,8.0,LOW_ACTION,POS HOUSEHOLD WITHOUT INTEREST,365243.0,-378.0,-168.0,-168.0,-163.0,1.0,SIM,23/12/2024
2273188,270658,CONSUMER LOANS,9644.22,26550.0,27252.0,0.0,26550.0,SATURDAY,10,Y,1,0.0,,,XAP,APPROVED,-726,CASH THROUGH THE BANK,XAP,,NEW,CONSTRUCTION MATERIALS,POS,XNA,STONE,83,CONSUMER ELECTRONICS,3.0,MIDDLE,POS HOUSEHOLD WITH INTEREST,365243.0,-693.0,-633.0,-633.0,-627.0,0.0,SIM,09/02/2024
1232483,151612,CONSUMER LOANS,21307.455,126490.5,119853.0,12649.5,126490.5,TUESDAY,7,Y,1,0.1039712869911545,,,XAP,APPROVED,-699,CASH THROUGH THE BANK,XAP,UNACCOMPANIED,NEW,AUTO ACCESSORIES,POS,XNA,REGIONAL / LOCAL,130,INDUSTRY,6.0,LOW_NORMAL,POS OTHER WITH INTEREST,365243.0,-668.0,-518.0,-518.0,-512.0,0.0,SIM,07/03/2024
2163253,154602,CONSUMER LOANS,4187.34,26955.0,27297.0,1350.0,26955.0,SATURDAY,12,Y,1,0.0513237940193642,,,XAP,APPROVED,-1473,CASH THROUGH THE BANK,XAP,UNACCOMPANIED,REPEATER,PHOTO / CINEMA EQUIPMENT,POS,XNA,STONE,130,CONSUMER ELECTRONICS,8.0,HIGH,POS HOUSEHOLD WITH INTEREST,365243.0,-1440.0,-1230.0,-1230.0,-1226.0,0.0,SIM,23/01/2022
1285768,142748,REVOLVING LOANS,9000.0,180000.0,180000.0,,180000.0,FRIDAY,13,Y,1,,,,XAP,APPROVED,-336,XNA,XAP,UNACCOMPANIED,REPEATER,XNA,CARDS,X-SELL,AP+ (CASH LOAN),6,XNA,0.0,XNA,CARD X-SELL,-277.0,-257.0,365243.0,365243.0,365243.0,0.0,SIM,05/03/2025
2393109,396305,CASH LOANS,10181.7,180000.0,180000.0,,180000.0,THURSDAY,14,Y,1,,,,XNA,APPROVED,-700,CASH THROUGH THE BANK,XAP,UNACCOMPANIED,REPEATER,XNA,CASH,X-SELL,AP+ (CASH LOAN),6,XNA,24.0,LOW_NORMAL,CASH X-SELL: LOW,,,,,,,SIM,06/03/2024
1173070,199178,CASH LOANS,4666.5,45000.0,49455.0,,45000.0,SATURDAY,16,Y,1,,,,EVERYDAY EXPENSES,REFUSED,-584,XNA,HC,,REPEATER,XNA,CASH,WALK-IN,AP+ (CASH LOAN),6,XNA,18.0,HIGH,CASH STREET: HIGH,,,,,,,SIM,30/06/2024
1506815,166490,CASH LOANS,25454.025,450000.0,491580.0,,450000.0,MONDAY,6,Y,1,,,,XNA,REFUSED,-401,CASH THROUGH THE BANK,HC,UNACCOMPANIED,REPEATER,XNA,CASH,X-SELL,CREDIT AND CASH OFFICES,-1,XNA,24.0,LOW_NORMAL,CASH X-SELL: LOW,,,,,,,SIM,30/12/2024
1182516,267782,CASH LOANS,20361.6,405000.0,451777.5,,405000.0,SATURDAY,4,Y,1,,,,XNA,APPROVED,-686,CASH THROUGH THE BANK,XAP,,REPEATER,XNA,CASH,X-SELL,CREDIT AND CASH OFFICES,-1,XNA,30.0,LOW_NORMAL,CASH X-SELL: LOW,365243.0,-656.0,214.0,365243.0,365243.0,1.0,SIM,20/03/2024
1172842,302212,CASH LOANS,,0.0,0.0,,,TUESDAY,9,Y,1,,,,XNA,REFUSED,-239,XNA,HC,,REPEATER,XNA,XNA,XNA,CREDIT AND CASH OFFICES,-1,XNA,,XNA,CASH,,,,,,,SIM,10/06/2025
1172937,302212,CASH LOANS,39475.305,1129500.0,1277104.5,,1129500.0,THURSDAY,5,Y,1,,,,XNA,REFUSED,-594,CASH THROUGH THE BANK,HC,,REPEATER,XNA,CASH,X-SELL,CREDIT AND CASH OFFICES,-1,XNA,54.0,LOW_NORMAL,CASH X-SELL: LOW,,,,,,,SIM,20/06/2024
1555330,199353,CASH LOANS,,0.0,0.0,,,SATURDAY,6,Y,1,,,,XNA,CANCELED,-202,XNA,XAP,,REPEATER,XNA,XNA,XNA,CREDIT AND CASH OFFICES,-1,XNA,,XNA,CASH,,,,,,,SIM,17/07/2025
1543131,275707,CASH LOANS,22619.52,229500.0,241920.0,,229500.0,THURSDAY,8,Y,1,,,,XNA,APPROVED,-370,CASH THROUGH THE BANK,XAP,UNACCOMPANIED,REPEATER,XNA,CASH,X-SELL,CREDIT AND CASH OFFICES,-1,XNA,12.0,LOW_NORMAL,CASH X-SELL: LOW,365243.0,-340.0,-10.0,-10.0,-3.0,1.0,SIM,30/01/2025
2536650,338725,CASH LOANS,16708.32,369000.0,369000.0,,369000.0,WEDNESDAY,13,Y,1,,,,XNA,APPROVED,-1487,XNA,XAP,,REPEATER,XNA,CASH,X-SELL,COUNTRY-WIDE,-1,CONSUMER ELECTRONICS,48.0,MIDDLE,CASH X-SELL: MIDDLE,365243.0,-1457.0,-47.0,-47.0,-41.0,0.0,SIM,09/01/2022
1676258,433469,CASH LOANS,22242.825,247500.0,268083.0,0.0,247500.0,THURSDAY,14,Y,1,0.0,,,XNA,APPROVED,-1883,XNA,XAP,,REPEATER,XNA,CASH,X-SELL,COUNTRY-WIDE,-1,CONSUMER ELECTRONICS,18.0,HIGH,CASH X-SELL: HIGH,365243.0,-1853.0,-1343.0,-1343.0,-1334.0,1.0,SIM,09/12/2020
2075578,418383,CONSUMER LOANS,7656.705,74610.0,65610.0,9000.0,74610.0,MONDAY,14,Y,1,0.1313740541726066,,,XAP,APPROVED,-2702,CASH THROUGH THE BANK,XAP,FAMILY,NEW,MOBILE,POS,XNA,STONE,61,CONNECTIVITY,12.0,LOW_NORMAL,POS MOBILE WITH INTEREST,365243.0,-2671.0,-2341.0,-2341.0,-2332.0,0.0,SIM,12/09/2018
1583704,315664,CASH LOANS,,0.0,0.0,,,WEDNESDAY,15,Y,1,,,,XNA,REFUSED,-430,XNA,HC,,REPEATER,XNA,XNA,XNA,CREDIT AND CASH OFFICES,-1,XNA,,XNA,CASH,,,,,,,SIM,01/12/2024
2138466,170289,CONSUMER LOANS,3286.485,32562.0,32562.0,0.0,32562.0,FRIDAY,12,Y,1,0.0,0.1969143148588915,0.8673361522198731,XAP,APPROVED,-307,CASH THROUGH THE BANK,XAP,,REFRESHED,PHOTO / CINEMA EQUIPMENT,POS,XNA,COUNTRY-WIDE,20,CONNECTIVITY,12.0,MIDDLE,POS MOBILE WITH INTEREST,365243.0,-273.0,57.0,-183.0,-179.0,0.0,SIM,03/04/2025
2191093,182450,CONSUMER LOANS,9789.255,100485.0,100485.0,0.0,100485.0,WEDNESDAY,9,Y,1,0.0,,,XAP,APPROVED,-391,CASH THROUGH THE BANK,XAP,,REFRESHED,COMPUTERS,POS,XNA,STONE,200,CONSUMER ELECTRONICS,12.0,LOW_NORMAL,POS HOUSEHOLD WITH INTEREST,365243.0,-360.0,-30.0,-270.0,-261.0,0.0,SIM,09/01/2025
1471931,257846,CASH LOANS,,0.0,0.0,,,MONDAY,12,Y,1,,,,XNA,CANCELED,-302,XNA,XAP,,REPEATER,XNA,XNA,XNA,CREDIT AND CASH OFFICES,-1,XNA,,XNA,CASH,,,,,,,SIM,08/04/2025
1478703,393511,CASH LOANS,,0.0,0.0,,,WEDNESDAY,19,Y,1,,,,XNA,CANCELED,-152,XNA,XAP,,REPEATER,XNA,XNA,XNA,CREDIT AND CASH OFFICES,-1,XNA,,XNA,CASH,,,,,,,SIM,05/09/2025
1629736,255331,REVOLVING LOANS,10125.0,202500.0,202500.0,,202500.0,SATURDAY,14,Y,1,,,,XAP,APPROVED,-284,XNA,XAP,UNACCOMPANIED,REPEATER,XNA,CARDS,X-SELL,CREDIT AND CASH OFFICES,-1,XNA,0.0,XNA,CARD X-SELL,-265.0,-234.0,365243.0,365243.0,365243.0,0.0,SIM,26/04/2025
2027074,208000,CONSUMER LOANS,12065.535,56655.0,66411.0,0.0,56655.0,SATURDAY,7,Y,1,0.0,,,XAP,APPROVED,-676,CASH THROUGH THE BANK,XAP,UNACCOMPANIED,REPEATER,AUDIO/VIDEO,POS,XNA,COUNTRY-WIDE,50,CONSUMER ELECTRONICS,6.0,MIDDLE,POS HOUSEHOLD WITH INTEREST,365243.0,-645.0,-495.0,-495.0,-493.0,0.0,SIM,30/03/2024
2766278,178375,CONSUMER LOANS,7511.085,32490.0,38380.5,0.0,32490.0,MONDAY,5,Y,1,0.0,,,XAP,REFUSED,-801,CASH THROUGH THE BANK,LIMIT,"SPOUSE, PARTNER",REPEATER,CONSUMER ELECTRONICS,POS,XNA,COUNTRY-WIDE,50,CONSUMER ELECTRONICS,6.0,HIGH,POS HOUSEHOLD WITH INTEREST,,,,,,,SIM,26/11/2023
1151694,161591,CONSUMER LOANS,39111.075,214380.0,209497.5,13500.0,214380.0,FRIDAY,12,Y,1,0.0659322515845571,,,XAP,APPROVED,-989,CASH THROUGH THE BANK,XAP,FAMILY,REPEATER,AUDIO/VIDEO,POS,XNA,COUNTRY-WIDE,50,CONSUMER ELECTRONICS,6.0,MIDDLE,POS HOUSEHOLD WITH INTEREST,365243.0,-958.0,-808.0,-808.0,-804.0,0.0,SIM,22/05/2023
1692577,125157,CONSUMER LOANS,9946.485,99319.5,109809.0,0.0,99319.5,SATURDAY,9,Y,1,0.0,,,XAP,APPROVED,-392,XNA,XAP,UNACCOMPANIED,REPEATER,AUDIO/VIDEO,POS,XNA,REGIONAL / LOCAL,136,CONSUMER ELECTRONICS,12.0,LOW_ACTION,POS HOUSEHOLD WITHOUT INTEREST,365243.0,-362.0,-32.0,-242.0,-237.0,1.0,SIM,08/01/2025
2740958,281589,CONSUMER LOANS,6752.25,35955.0,33115.5,4500.0,35955.0,THURSDAY,9,Y,1,0.1302896170703324,,,XAP,APPROVED,-983,CASH THROUGH THE BANK,XAP,UNACCOMPANIED,REFRESHED,MOBILE,POS,XNA,COUNTRY-WIDE,40,CONNECTIVITY,6.0,HIGH,POS MOBILE WITH INTEREST,365243.0,-952.0,-802.0,-802.0,-783.0,0.0,SIM,28/05/2023
2317570,258076,CONSUMER LOANS,4539.285,18360.0,21834.0,0.0,18360.0,WEDNESDAY,10,Y,1,0.0,,,XAP,APPROVED,-795,CASH THROUGH THE BANK,XAP,UNACCOMPANIED,REPEATER,MOBILE,POS,XNA,COUNTRY-WIDE,40,CONNECTIVITY,6.0,HIGH,POS MOBILE WITH INTEREST,365243.0,-764.0,-614.0,-614.0,-609.0,0.0,SIM,02/12/2023
1366380,247572,CONSUMER LOANS,,17950.5,17950.5,0.0,17950.5,MONDAY,19,Y,1,0.0,,,XAP,UNUSED OFFER,-1141,CASH THROUGH THE BANK,CLIENT,,REPEATER,MOBILE,XNA,XNA,COUNTRY-WIDE,25,CONNECTIVITY,,XNA,POS MOBILE WITH INTEREST,,,,,,,SIM,21/12/2022
2319873,188414,CONSUMER LOANS,3560.715,71356.5,76410.0,7573.5,71356.5,FRIDAY,17,Y,1,0.0982125060279697,,,XAP,APPROVED,-2594,CASH THROUGH THE BANK,XAP,UNACCOMPANIED,REPEATER,CONSUMER ELECTRONICS,POS,XNA,COUNTRY-WIDE,1535,CONSUMER ELECTRONICS,24.0,LOW_ACTION,POS HOUSEHOLD WITHOUT INTEREST,365243.0,-2563.0,-1873.0,-1933.0,-1927.0,1.0,SIM,29/12/2018
2057616,304455,CONSUMER LOANS,15542.73,129505.5,131112.0,9000.0,129505.5,WEDNESDAY,12,Y,1,0.0699570213958702,,,XAP,APPROVED,-406,CASH THROUGH THE BANK,XAP,,NEW,CONSUMER ELECTRONICS,POS,XNA,COUNTRY-WIDE,800,CONSUMER ELECTRONICS,10.0,MIDDLE,POS HOUSEHOLD WITH INTEREST,365243.0,-374.0,-104.0,-104.0,-101.0,0.0,SIM,25/12/2024
2675386,118974,CONSUMER LOANS,6899.49,55831.5,60745.5,0.0,55831.5,SUNDAY,13,Y,1,0.0,,,XAP,APPROVED,-302,CASH THROUGH THE BANK,XAP,UNACCOMPANIED,NEW,MOBILE,POS,XNA,COUNTRY-WIDE,182,CONNECTIVITY,10.0,LOW_NORMAL,POS MOBILE WITHOUT INTEREST,365243.0,-272.0,-2.0,365243.0,365243.0,1.0,SIM,08/04/2025
2621158,281470,REVOLVING LOANS,14625.0,292500.0,292500.0,,292500.0,FRIDAY,17,Y,1,,,,XAP,REFUSED,-231,XNA,HC,UNACCOMPANIED,REPEATER,XNA,CARDS,X-SELL,COUNTRY-WIDE,182,CONNECTIVITY,0.0,XNA,CARD X-SELL,,,,,,,SIM,18/06/2025
2586290,447421,CONSUMER LOANS,10274.04,126544.5,101232.0,25312.5,126544.5,SATURDAY,15,Y,1,0.2178491648105104,,,XAP,APPROVED,-243,CASH THROUGH THE BANK,XAP,UNACCOMPANIED,REPEATER,MOBILE,POS,XNA,COUNTRY-WIDE,212,CONNECTIVITY,12.0,MIDDLE,POS MOBILE WITH INTEREST,365243.0,-212.0,118.0,-122.0,-116.0,0.0,SIM,06/06/2025
1475738,235737,CASH LOANS,75897.63,2025000.0,2241513.0,,2025000.0,THURSDAY,19,Y,1,,,,XNA,APPROVED,-524,CASH THROUGH THE BANK,XAP,,REPEATER,XNA,CASH,X-SELL,CREDIT AND CASH OFFICES,-1,XNA,54.0,LOW_NORMAL,CASH X-SELL: LOW,,,,,,,SIM,29/08/2024
2600277,256517,CASH LOANS,,0.0,0.0,,,FRIDAY,17,Y,1,,,,XNA,CANCELED,-218,XNA,XAP,,REPEATER,XNA,XNA,XNA,CREDIT AND CASH OFFICES,-1,XNA,,XNA,CASH,,,,,,,SIM,01/07/2025
1371540,200721,REVOLVING LOANS,11250.0,225000.0,225000.0,,225000.0,FRIDAY,15,Y,1,,,,XAP,APPROVED,-847,XNA,XAP,,REPEATER,XNA,CARDS,WALK-IN,CREDIT AND CASH OFFICES,-1,XNA,0.0,XNA,CARD STREET,365243.0,365243.0,365243.0,365243.0,-171.0,0.0,SIM,11/10/2023
2261993,299391,REVOLVING LOANS,,0.0,0.0,,,FRIDAY,13,Y,1,,,,XAP,CANCELED,-161,XNA,XAP,,REPEATER,XNA,XNA,XNA,CREDIT AND CASH OFFICES,-1,XNA,,XNA,CARD STREET,,,,,,,SIM,27/08/2025
2664403,163660,CASH LOANS,9804.285,67500.0,82611.0,,67500.0,SATURDAY,10,Y,1,,,,CAR REPAIRS,APPROVED,-766,CASH THROUGH THE BANK,XAP,,NEW,XNA,CASH,WALK-IN,CREDIT AND CASH OFFICES,-1,XNA,12.0,HIGH,CASH STREET: HIGH,365243.0,-736.0,-406.0,-466.0,-464.0,1.0,SIM,31/12/2023
1912041,253391,CASH LOANS,5294.43,45000.0,47970.0,,45000.0,SUNDAY,17,Y,1,,,,XNA,REFUSED,-774,CASH THROUGH THE BANK,HC,UNACCOMPANIED,REFRESHED,XNA,CASH,X-SELL,REGIONAL / LOCAL,333,CONSUMER ELECTRONICS,12.0,HIGH,CASH X-SELL: HIGH,,,,,,,SIM,23/12/2023
2609003,371440,CONSUMER LOANS,11688.255,93415.5,101637.0,0.0,93415.5,FRIDAY,10,Y,1,0.0,,,XAP,APPROVED,-598,CASH THROUGH THE BANK,XAP,UNACCOMPANIED,NEW,COMPUTERS,POS,XNA,REGIONAL / LOCAL,333,CONSUMER ELECTRONICS,10.0,MIDDLE,POS HOUSEHOLD WITH INTEREST,365243.0,-567.0,-297.0,-357.0,-344.0,0.0,SIM,16/06/2024
1399859,197343,CONSUMER LOANS,4818.78,106398.0,106398.0,0.0,106398.0,SATURDAY,14,Y,1,0.0,,,XAP,REFUSED,-409,CASH THROUGH THE BANK,LIMIT,,REPEATER,COMPUTERS,POS,XNA,COUNTRY-WIDE,1000,CONSUMER ELECTRONICS,24.0,LOW_ACTION,POS HOUSEHOLD WITHOUT INTEREST,,,,,,,SIM,22/12/2024
2741581,383645,CASH LOANS,47407.5,450000.0,450000.0,,450000.0,MONDAY,13,Y,1,,,,XNA,APPROVED,-557,CASH THROUGH THE BANK,XAP,,REPEATER,XNA,CASH,X-SELL,CREDIT AND CASH OFFICES,-1,XNA,12.0,MIDDLE,CASH X-SELL: MIDDLE,365243.0,-527.0,-197.0,-197.0,-194.0,0.0,SIM,27/07/2024
2563201,290976,CASH LOANS,49299.435,450000.0,504711.0,,450000.0,THURSDAY,15,Y,1,,,,XNA,APPROVED,-1042,CASH THROUGH THE BANK,XAP,UNACCOMPANIED,REPEATER,XNA,CASH,X-SELL,CREDIT AND CASH OFFICES,-1,XNA,12.0,LOW_NORMAL,CASH X-SELL: LOW,365243.0,-1012.0,-682.0,-742.0,-738.0,1.0,SIM,30/03/2023
2586409,446260,CASH LOANS,,0.0,0.0,,,THURSDAY,16,Y,1,,,,XNA,CANCELED,-209,XNA,XAP,,REPEATER,XNA,XNA,XNA,CREDIT AND CASH OFFICES,-1,XNA,,XNA,CASH,,,,,,,SIM,10/07/2025
1760006,283527,CASH LOANS,14730.66,72000.0,72000.0,,72000.0,WEDNESDAY,15,Y,1,,,,XNA,APPROVED,-183,XNA,XAP,UNACCOMPANIED,REPEATER,XNA,CASH,X-SELL,CONTACT CENTER,-1,XNA,6.0,HIGH,CASH X-SELL: HIGH,365243.0,-153.0,-3.0,-3.0,365243.0,0.0,SIM,05/08/2025
2076528,431383,CONSUMER LOANS,3725.505,26370.0,29983.5,2637.0,26370.0,SATURDAY,16,Y,1,0.088040732891057,,,XAP,APPROVED,-1773,CASH THROUGH THE BANK,XAP,UNACCOMPANIED,NEW,MOBILE,POS,XNA,COUNTRY-WIDE,24,CONNECTIVITY,12.0,HIGH,POS MOBILE WITH INTEREST,365243.0,-1742.0,-1412.0,-1472.0,-1464.0,0.0,SIM,29/03/2021
2511538,435636,CASH LOANS,,0.0,0.0,,,THURSDAY,15,Y,1,,,,XNA,CANCELED,-152,XNA,XAP,,REPEATER,XNA,XNA,XNA,CREDIT AND CASH OFFICES,-1,XNA,,XNA,CASH,,,,,,,SIM,05/09/2025
1024150,374768,CASH LOANS,,0.0,0.0,,,FRIDAY,11,Y,1,,,,XNA,CANCELED,-19,XNA,XAP,,REFRESHED,XNA,XNA,XNA,CREDIT AND CASH OFFICES,-1,XNA,,XNA,CASH,,,,,,,SIM,16/01/2026
2326929,221146,REVOLVING LOANS,,0.0,0.0,,,MONDAY,14,Y,1,,,,XAP,CANCELED,-295,XNA,XAP,,REFRESHED,XNA,XNA,XNA,CREDIT AND CASH OFFICES,-1,XNA,,XNA,CARD STREET,,,,,,,SIM,15/04/2025
1074341,137179,CASH LOANS,,0.0,0.0,,,FRIDAY,16,Y,1,,,,XNA,CANCELED,-237,XNA,XAP,,REPEATER,XNA,XNA,XNA,CREDIT AND CASH OFFICES,-1,XNA,,XNA,CASH,,,,,,,SIM,12/06/2025
1760015,269239,CASH LOANS,,0.0,0.0,,,WEDNESDAY,8,Y,1,,,,XNA,CANCELED,-207,XNA,XAP,,REPEATER,XNA,XNA,XNA,CREDIT AND CASH OFFICES,-1,XNA,,XNA,CASH,,,,,,,SIM,12/07/2025
2810623,369919,CASH LOANS,,0.0,0.0,,,WEDNESDAY,10,Y,1,,,,XNA,CANCELED,-419,XNA,XAP,,REPEATER,XNA,XNA,XNA,CREDIT AND CASH OFFICES,-1,XNA,,XNA,CASH,,,,,,,SIM,12/12/2024
2433280,407487,CASH LOANS,,0.0,0.0,,,TUESDAY,11,Y,1,,,,XNA,CANCELED,-181,XNA,XAP,,REPEATER,XNA,XNA,XNA,CREDIT AND CASH OFFICES,-1,XNA,,XNA,CASH,,,,,,,SIM,07/08/2025
2325707,353086,CASH LOANS,,0.0,0.0,,,FRIDAY,16,Y,1,,,,XNA,CANCELED,-388,XNA,XAP,,REPEATER,XNA,XNA,XNA,CREDIT AND CASH OFFICES,-1,XNA,,XNA,CASH,,,,,,,SIM,12/01/2025
2345724,197444,CASH LOANS,10030.5,360000.0,360000.0,,360000.0,THURSDAY,10,Y,1,,,,XNA,APPROVED,-208,CASH THROUGH THE BANK,XAP,UNACCOMPANIED,REPEATER,XNA,CASH,X-SELL,CREDIT AND CASH OFFICES,-1,XNA,60.0,LOW_NORMAL,CASH X-SELL: LOW,365243.0,-178.0,1592.0,365243.0,365243.0,0.0,SIM,11/07/2025
2734980,348760,CASH LOANS,,0.0,0.0,,,SUNDAY,8,Y,1,,,,XNA,CANCELED,-405,XNA,XAP,,REPEATER,XNA,XNA,XNA,CREDIT AND CASH OFFICES,-1,XNA,,XNA,CASH,,,,,,,SIM,26/12/2024
